# Program:featureCounts v1.6.4; Command:"featureCounts" "-p" "-a" "refs/features.gff" "-o" "counts.txt" "bam/BORED_1.bam" "bam/BORED_2.bam" "bam/BORED_3.bam" "bam/EXCITED_1.bam" "bam/EXCITED_2.bam" "bam/EXCITED_3.bam" 
Geneid	Chr	Start	End	Strand	Length	bam/BORED_1.bam	bam/BORED_2.bam	bam/BORED_3.bam	bam/EXCITED_1.bam	bam/EXCITED_2.bam	bam/EXCITED_3.bam
AAA-750000-UP-4	Golden	1	1060	+	1060	8103	13899	8825	69797	44913	57103
ABA-187500-UP-4	Golden	1560	2083	+	524	979	1426	1009	9199	6784	7358
ACA-46875-UP-4	Golden	2583	3616	+	1034	505	771	505	4456	3064	3669
ADA-23438-UP-4	Golden	4116	5138	+	1023	206	331	240	1920	1228	1669
AEA-11719-UP-4	Golden	5638	7629	+	1992	261	409	282	2113	1412	1967
AFA-5859-UP-4	Golden	8129	9253	+	1125	67	139	98	718	466	626
AGA-2930-UP-4	Golden	9753	10274	+	522	38	85	36	313	205	272
AHA-2930-UP-4	Golden	10774	11545	+	772	37	67	32	315	191	238
AIA-1465-UP-4	Golden	12045	13068	+	1024	23	32	13	199	111	150
AJA-732-UP-4	Golden	13568	14212	+	645	5	10	4	33	21	21
AKA-732-UP-4	Golden	14712	15250	+	539	1	3	6	20	12	11
ALA-366-UP-4	Golden	15750	16773	+	1024	2	4	7	46	26	36
AMA-183-UP-4	Golden	17273	17810	+	538	3	0	2	6	10	6
ANA-183-UP-4	Golden	18310	19154	+	845	3	9	2	20	8	16
APA-92-UP-4	Golden	19654	20784	+	1131	2	4	2	9	10	8
ARA-46-UP-4	Golden	21284	23306	+	2023	0	3	0	2	3	4
ASA-46-UP-4	Golden	23806	24080	+	275	0	0	1	1	0	1
ATA-23-UP-4	Golden	24580	25603	+	1024	0	1	0	1	1	0
AUA-11-UP-4	Golden	26103	26626	+	524	0	0	0	2	0	0
AVA-11-UP-4	Golden	27126	27620	+	495	0	0	0	0	0	1
AWA-6-UP-4	Golden	28120	29142	+	1023	0	0	0	0	0	2
AXA-3-UP-4	Golden	29642	30778	+	1137	0	0	0	0	0	1
AYA-1-UP-4	Golden	31278	32300	+	1023	0	0	0	0	0	0
BAB-1500000-SAME-1	Golden	32800	33907	+	1108	20676	34164	22770	44261	28653	36490
BBB-375000-SAME-1	Golden	34407	34912	+	506	1923	3247	2120	3816	2678	3366
BCB-93750-SAME-1	Golden	35412	36396	+	985	676	969	679	1410	928	1159
BDB-46875-SAME-1	Golden	36896	37919	+	1024	648	999	694	1490	1043	1244
BEB-23438-SAME-1	Golden	38419	38942	+	524	200	252	211	503	332	349
BFB-11719-SAME-1	Golden	39442	40572	+	1131	102	199	114	251	125	186
BGB-5859-SAME-1	Golden	41072	43066	+	1995	139	227	131	286	189	236
BHB-5859-SAME-1	Golden	43566	43840	+	275	5	2	4	12	9	7
BIB-2930-SAME-1	Golden	44340	45363	+	1024	24	50	35	53	49	61
BJB-1465-SAME-1	Golden	45863	46357	+	495	1	10	7	3	3	7
BKB-1465-SAME-1	Golden	46857	47975	+	1119	8	8	7	22	7	17
BLB-732-SAME-1	Golden	48475	49494	+	1020	15	40	24	42	21	37
BMB-366-SAME-1	Golden	49994	50737	+	744	1	7	2	5	9	4
BNB-366-SAME-1	Golden	51237	51881	+	645	1	1	2	7	0	3
BPB-183-SAME-1	Golden	52381	53519	+	1139	1	4	5	5	2	4
BRB-92-SAME-1	Golden	54019	54555	+	537	0	0	0	0	2	2
BSB-92-SAME-1	Golden	55055	55658	+	604	1	0	0	3	1	0
BTB-46-SAME-1	Golden	56158	57185	+	1028	1	1	2	1	2	2
BUB-23-SAME-1	Golden	57685	59707	+	2023	0	0	1	1	3	0
BVB-23-SAME-1	Golden	60207	60700	+	494	0	0	1	0	2	0
BWB-11-SAME-1	Golden	61200	62224	+	1025	1	0	0	0	1	0
BXB-6-SAME-1	Golden	62724	63860	+	1137	0	2	0	0	0	0
BYB-1-SAME-1	Golden	64360	65383	+	1024	0	0	0	0	0	0
CAC-2250000-DOWN-0.67	Golden	65883	66405	+	523	21129	32695	22967	31395	23370	26448
CBC-562500-DOWN-0.67	Golden	66905	67745	+	841	7022	11537	7817	9766	6570	8406
CCC-140625-DOWN-0.67	Golden	68245	69287	+	1043	1025	1729	1120	1530	1004	1246
CDC-70312-DOWN-0.67	Golden	69787	70781	+	995	1023	1633	1048	1322	959	1108
CEC-35156-DOWN-0.67	Golden	71281	71923	+	643	190	335	232	243	161	189
CFC-17578-DOWN-0.67	Golden	72423	73579	+	1157	203	407	264	367	193	253
CGC-8789-DOWN-0.67	Golden	74079	74602	+	524	47	77	52	95	66	59
CHC-8789-DOWN-0.67	Golden	75102	75744	+	643	82	125	75	124	66	96
CIC-4395-DOWN-0.67	Golden	76244	77238	+	995	58	95	67	87	47	67
CJC-2197-DOWN-0.67	Golden	77738	79088	+	1351	32	44	24	32	30	42
CKC-2197-DOWN-0.67	Golden	79588	79862	+	275	2	3	7	5	1	2
CLC-1099-DOWN-0.67	Golden	80362	81381	+	1020	21	28	22	29	23	21
CMC-549-DOWN-0.67	Golden	81881	82665	+	785	0	14	2	7	5	4
CNC-549-DOWN-0.67	Golden	83165	83905	+	741	2	6	6	7	3	2
CPC-275-DOWN-0.67	Golden	84405	85541	+	1137	2	11	9	4	4	5
CRC-137-DOWN-0.67	Golden	86041	86577	+	537	1	0	0	0	0	0
CSC-137-DOWN-0.67	Golden	87077	87821	+	745	0	4	1	1	0	2
CTC-69-DOWN-0.67	Golden	88321	89343	+	1023	0	4	1	0	2	2
CUC-34-DOWN-0.67	Golden	89843	90379	+	537	0	0	0	0	0	0
CVC-34-DOWN-0.67	Golden	90879	91723	+	845	1	1	0	0	0	1
CWC-17-DOWN-0.67	Golden	92223	93217	+	995	0	0	0	1	0	0
CXC-9-DOWN-0.67	Golden	93717	94860	+	1144	0	0	0	0	0	0
CYC-2-DOWN-0.67	Golden	95360	96381	+	1022	0	0	0	0	0	0
DAD-3000000-DOWN-0.5	Golden	96881	97942	+	1062	38059	63117	42220	40132	26119	34049
DBD-750000-DOWN-0.5	Golden	98442	98964	+	523	3119	4461	3181	3742	2447	2956
DCD-187500-DOWN-0.5	Golden	99464	100487	+	1024	2837	4193	3035	3531	2245	2732
DDD-93750-DOWN-0.5	Golden	100987	102010	+	1024	1711	2612	1884	2118	1462	1730
DED-46875-DOWN-0.5	Golden	102510	103261	+	752	299	468	336	362	183	275
DFD-23438-DOWN-0.5	Golden	103761	104897	+	1137	374	661	441	420	272	344
DGD-11719-DOWN-0.5	Golden	105397	106269	+	873	79	176	82	94	63	66
DHD-11719-DOWN-0.5	Golden	106769	107413	+	645	67	125	98	88	60	74
DID-5859-DOWN-0.5	Golden	107913	108906	+	994	74	122	99	76	59	67
DJD-2930-DOWN-0.5	Golden	109406	109949	+	544	16	20	24	11	11	15
DKD-2930-DOWN-0.5	Golden	110449	110974	+	526	17	31	32	27	19	17
DLD-1465-DOWN-0.5	Golden	111474	112217	+	744	18	46	27	23	21	19
DMD-732-DOWN-0.5	Golden	112717	114674	+	1958	18	17	12	22	6	12
DND-732-DOWN-0.5	Golden	115174	115447	+	274	1	0	0	0	2	1
DPD-366-DOWN-0.5	Golden	115947	117084	+	1138	2	14	6	5	4	7
DRD-183-DOWN-0.5	Golden	117584	118121	+	538	0	0	0	1	2	0
DSD-183-DOWN-0.5	Golden	118621	119429	+	809	2	4	0	3	2	0
DTD-92-DOWN-0.5	Golden	119929	120953	+	1025	2	1	1	2	3	3
DUD-46-DOWN-0.5	Golden	121453	122575	+	1123	0	2	2	1	1	0
DVD-46-DOWN-0.5	Golden	123075	123609	+	535	0	0	0	0	0	0
DWD-23-DOWN-0.5	Golden	124109	125129	+	1021	0	0	0	0	0	0
DXD-11-DOWN-0.5	Golden	125629	126765	+	1137	0	0	0	0	0	0
DYD-3-DOWN-0.5	Golden	127265	128257	+	993	0	0	0	0	0	0
