name,baseMean,baseMeanA,baseMeanB,foldChange,log2FoldChange,logCPM,PValue,PAdj,FDR,falsePos,sugar_1,Sugar_2,Blood_1,Blood_2
AAEL006138-RA-E3,4626.5,0,9253,0,-16.2,11,2.0722969530453e-295,0,0,0,0,0,9563,8943
AAEL007432-RA-E1,5881.5,27,11736,0.002,-8.8,11.4,8.00489646945238e-283,0,0,0,27,27,11927,11545
AAEL010434-RA-E3,4028.8,2,8055.5,0,-11.9,10.8,3.33550163963021e-254,0,0,0,1,3,8690,7421
AAEL006138-RA-E2,4579.5,2.5,9156.5,0,-11.7,11,8.67634375205615e-252,0,0,0,5,0,9874,8439
AAEL010434-RA-E2,4109.2,5,8213.5,0.001,-10.6,10.9,1.40291709637058e-245,0,0,0,4,6,8887,7540
AAEL013118-RB-E1,1727.8,0.5,3455,0,-12.3,9.6,1.40210237971963e-232,0,0,0,1,0,3366,3544
AAEL006126-RA-E3,3507,6.5,7007.5,0.001,-10,10.6,4.88665268450052e-222,0,0,0,4,9,7656,6359
AAEL013284-RA-E1,1656.5,2.5,3310.5,0.001,-10.2,9.5,2.43778731792481e-214,0,0,0,5,0,3453,3168
AAEL001690-RA-E2,3226.8,59,6394.5,0.009,-6.8,10.5,5.15324884520076e-214,0,0,0,60,58,6517,6272
AAEL006126-RA-E2,2376.5,8.5,4744.5,0.002,-9.1,10.1,1.12093653220737e-213,0,0,0,7,10,5071,4418
AAEL007818-RA-E1,3301.5,6575,28,233.95,7.9,10.5,4.53199109582358e-200,0,0,0,6079,7071,32,24
AAEL010202-RA-E1,713.2,0,1426.5,0,-13.5,8.3,8.19048946516777e-178,0,0,0,0,0,1424,1429
AAEL019470-RA-E1,700.2,0,1400.5,0,-13.5,8.3,2.72002813206497e-176,0,0,0,0,0,1411,1390
AAEL003881-RA-E1,1146.2,2287,5.5,374.977,8.6,9,1.69611400186825e-173,0,0,0,2428,2146,7,4
AAEL010196-RA-E1,872,7,1737,0.004,-7.9,8.6,5.83660088971327e-172,0,0,0,10,4,1735,1739
AAEL002467-RA-E1,1745.5,22.5,3468.5,0.007,-7.2,9.6,1.02674499362613e-164,0,0,0,17,28,3720,3217
AAEL001674-RA-E1,723.5,3,1444,0.002,-8.8,8.4,4.44540588047407e-164,0,0,0,3,3,1522,1366
AAEL013715-RA-E1,781.8,8.5,1555,0.006,-7.5,8.5,3.3338828483288e-162,0,0,0,10,7,1602,1508
AAEL006563-RA-E1,856.8,2,1711.5,0.001,-9.6,8.6,4.5814319184285e-161,0,0,0,1,3,1870,1553
AAEL013712-RA-E1,708.5,4,1413,0.003,-8.5,8.3,5.55762276355752e-160,0,0,0,8,0,1399,1427
AAEL001690-RA-E1,1468.2,35,2901.5,0.012,-6.4,9.4,1.98062472538908e-150,0,0,0,42,28,3028,2775
AAEL023729-RA-E1,1079.5,23.5,2135.5,0.011,-6.5,8.9,9.32897200414346e-145,0,0,0,17,30,2222,2049
AAEL010435-RB-E2,409.2,1,817.5,0.001,-9.4,7.5,3.14011570027468e-142,0,0,0,2,0,813,822
AAEL001693-RA-E2,662.8,13.5,1312,0.011,-6.6,8.2,8.19228279129075e-139,0,0,0,17,10,1272,1352
AAEL013118-RB-E2,624.2,0.5,1248,0.001,-10.9,8.1,5.30093823589538e-128,0,0,0,1,0,1070,1426
AAEL022600-RA-E1,1117.2,58,2176.5,0.027,-5.2,9,2.08200079720769e-127,0,0,0,52,64,2084,2269
AAEL027068-RA-E1,418.5,5.5,831.5,0.006,-7.3,7.6,2.32081250744174e-120,0,0,0,8,3,887,776
AAEL009165-RB-E1,264,0,528,0,-12,6.9,2.11261822162824e-115,0,0,0,0,0,511,545
AAEL022453-RA-E1,359,1.5,716.5,0.002,-8.8,7.3,9.074324871106e-114,0,0,0,0,3,791,642
AAEL015136-RA-E2,891.2,61.5,1721,0.036,-4.8,8.7,1.17048803513296e-111,0,0,0,68,55,1775,1667
AAEL006425-RA-E2,1133.2,2171.5,95,22.737,4.5,9,9.27252888611698e-108,0,0,0,2147,2196,105,85
AAEL007601-RA-E1,224.5,0.5,448.5,0.001,-9.4,6.7,5.52180642876538e-107,0,0,0,1,0,460,437
AAEL006425-RA-E3,860,1648.5,71.5,23.097,4.5,8.6,1.57273258561665e-104,0,0,0,1572,1725,68,75
AAEL001319-RB-E2,306.2,606,6.5,94.437,6.6,7.1,6.87453298125645e-103,0,0,0,590,622,4,9
AAEL000859-RA-E5,382,23.5,740.5,0.032,-5,7.4,3.34973811721003e-99,0,0,0,25,22,734,747
AAEL010435-RB-E3,189,1,377,0.004,-8.1,6.4,9.11197173549937e-99,0,0,0,1,1,375,379
AAEL008769-RA-E2,775.2,64.5,1486,0.043,-4.5,8.5,1.57075510590273e-97,0,0,0,68,61,1384,1588
AAEL001693-RA-E1,232.2,8,456.5,0.017,-5.8,6.7,3.0135258267498e-91,0,0,0,10,6,465,448
AAEL009642-RA-E1,506.2,44.5,968,0.046,-4.4,7.8,5.44518107161966e-90,0,0,0,51,38,961,975
AAEL001703-RA-E1,3606.2,6682,530.5,12.588,3.7,10.7,1.75394142216679e-85,0,0,0,7086,6278,493,568
AAEL022646-RA-E3,191,380,2,175.342,7.5,6.5,6.50854268161306e-84,0,0,0,354,406,3,1
AAEL001887-RC-E2,2020.2,360.5,3680,0.098,-3.4,9.8,7.41364799073927e-82,0,0,0,341,380,3627,3733
AAEL000859-RA-E6,320,10.5,629.5,0.017,-5.9,7.2,1.82322713509909e-81,0,0,0,11,10,540,719
AAEL013703-RA-E1,735.8,1367.5,104,13.131,3.7,8.4,2.26611115970019e-80,0,0,0,1392,1343,112,96
AAEL013611-RA-E1,290.5,23.5,557.5,0.042,-4.6,7,6.5186659598319e-80,0,0,0,23,24,586,529
AAEL000859-RA-E4,575.2,51,1099.5,0.047,-4.4,8,6.85562477736946e-79,0,0,0,43,59,1193,1006
AAEL007812-RA-E1,128.8,1,256.5,0.005,-7.5,5.9,7.96898478301988e-78,0,0,0,1,1,245,268
AAEL001100-RB-E3,246.5,19,474,0.04,-4.6,6.8,8.1193908501667e-77,0,0,0,17,21,491,457
