name,baseMean,baseMeanA,baseMeanB,foldChange,log2FoldChange,logCPM,PValue,PAdj,FDR,falsePos,Sugar_1,Sugar_2,Blood_1,Blood_2
AAEL003881,1137.8,2269,6.5,368.514,8.5,10.8,0,0,0,0,2411,2127,8,5
AAEL007818,1637.8,3261.5,14,228.798,7.8,11.4,0,0,0,0,3019,3504,16,12
AAEL023729,1089.8,23,2156.5,0.011,-6.5,10.7,0,0,0,0,17,29,2246,2067
AAEL001690,2369.5,46.5,4692.5,0.01,-6.7,11.8,0,0,0,0,51,42,4822,4563
AAEL002467,1762.5,22.5,3502.5,0.006,-7.3,11.4,0,0,0,0,17,28,3759,3246
AAEL013715,789.2,8.5,1570,0.006,-7.5,10.2,0,0,0,0,10,7,1619,1521
AAEL010196,880.2,7,1753.5,0.004,-7.9,10.4,0,0,0,0,10,4,1753,1754
AAEL013712,715.5,4,1427,0.003,-8.5,10.1,0,0,0,0,8,0,1414,1440
AAEL007432,5937.8,26.5,11849,0.002,-8.8,13.2,0,0,0,0,27,26,12051,11647
AAEL006126,1985.8,5.5,3966,0.001,-9.5,11.6,0,0,0,0,4,7,4299,3633
AAEL013284,1672.2,2.5,3342,0.001,-10.2,11.3,0,0,0,0,5,0,3489,3195
AAEL010434,2759,2.5,5515.5,0,-11.1,12.1,0,0,0,0,2,3,5959,5072
AAEL013118,804.8,0.5,1609,0,-11.7,10.3,0,0,0,0,1,0,1506,1712
AAEL006138,3116.5,1,6232,0,-12.6,12.2,0,0,0,0,2,0,6588,5876
AAEL010202,720,0,1440,0,-13.5,10.1,0,0,0,0,0,0,1438,1442
AAEL006563,865,2,1728,0.001,-9.7,10.4,4.76230205445523e-279,0,0,0,1,3,1890,1566
AAEL001693,451.5,10.5,892.5,0.012,-6.4,9.4,5.25758326269487e-278,0,0,0,13,8,877,908
AAEL001674,380,1.5,758.5,0.002,-8.8,9.2,3.70789502955482e-255,0,0,0,2,1,787,730
AAEL006425,737.8,1412,63.5,22.269,4.5,10.2,8.89343930960003e-245,0,0,0,1364,1460,66,61
AAEL022600,580.8,30.5,1131,0.027,-5.2,9.8,6.22316727082495e-233,0,0,0,28,33,1069,1193
AAEL001887,1038.2,181,1895.5,0.095,-3.4,10.6,3.28369659274412e-232,0,0,0,172,190,1866,1925
AAEL027068,422.8,5.5,840,0.006,-7.3,9.3,8.89293676047654e-230,0,0,0,8,3,897,783
AAEL009642,510.8,44.5,977,0.046,-4.5,9.6,1.92419935978398e-228,0,0,0,51,38,971,983
AAEL015136,550.2,43.5,1057,0.041,-4.6,9.7,4.4264534274011e-213,0,0,0,44,43,1110,1004
AAEL013703,731,1357,105,12.9,3.7,10.2,3.58888355113808e-208,0,0,0,1383,1331,113,97
AAEL008769,511,46.5,975.5,0.048,-4.4,9.6,3.75067131120302e-199,0,0,0,46,47,928,1023
AAEL019470,235.5,0,471,0,-11.9,8.5,6.21257138532529e-194,0,0,0,0,0,475,467
AAEL007601,226.8,0.5,453,0.001,-9.4,8.4,1.25378958345464e-185,0,0,0,1,0,465,441
AAEL022453,362.8,1.5,724,0.002,-8.8,9.1,2.33549947703406e-184,0,0,0,0,3,800,648
AAEL000859,339.8,27,652.5,0.042,-4.6,9,1.28120665677713e-175,0,0,0,28,26,680,625
AAEL010435,186,1,371,0.002,-8.7,8.1,5.69772114920016e-162,0,0,0,1,1,366,376
AAEL013611,257,22,492,0.046,-4.5,8.6,1.70185846879763e-155,0,0,0,20,24,492,492
AAEL014600,351.5,48,655,0.074,-3.8,9,4.47254740876784e-147,0,0,0,46,50,683,627
AAEL006381,260.5,27.5,493.5,0.055,-4.2,8.6,6.43624959339052e-146,0,0,0,28,27,503,484
AAEL001319,174.8,345.5,4,79.766,6.3,8.2,2.3676587507873e-133,0,0,0,339,352,2,6
AAEL007555,704.5,142,1267,0.112,-3.2,10.1,1.11251652970489e-129,0,0,0,145,139,1177,1357
AAEL007097,754.2,247,1261.5,0.196,-2.3,10.2,1.05339676211852e-128,0,0,0,244,250,1244,1279
AAEL001082,478,859,97,8.843,3.1,9.6,1.95125481006152e-119,0,0,0,879,839,82,112
AAEL007812,130,1,259,0.005,-7.5,7.6,2.38887014162211e-119,0,0,0,1,1,247,271
AAEL013885,1414,2267.5,560.5,4.044,2,11.1,4.07796263273037e-119,0,0,0,2221,2314,577,544
AAEL012827,1131.8,439,1824.5,0.241,-2.1,10.8,5.16717565929492e-118,0,0,0,452,426,1844,1805
AAEL001703,5124,9346,902,10.364,3.4,13,7.0475989931486e-112,0,0,0,9914,8778,785,1019
AAEL001100,154.5,11.5,297.5,0.039,-4.7,7.8,6.24485742132762e-110,0,0,0,12,11,309,286
AAEL012578,388.8,76,701.5,0.109,-3.2,9.2,6.70215607071465e-109,0,0,0,73,79,751,652
AAEL008079,899.5,1470.5,328.5,4.473,2.2,10.5,5.39105968199018e-107,0,0,0,1479,1462,346,311
AAEL026304,397.8,728,67.5,10.818,3.4,9.3,1.2841984788049e-105,0,0,0,779,677,77,58
AAEL006483,222,420.5,23.5,17.615,4.1,8.5,5.07077658160149e-101,0,0,0,454,387,26,21
AAEL000442,946.8,356,1537.5,0.232,-2.1,10.5,1.14110806845564e-100,0,0,0,335,377,1518,1557
AAEL004335,147.2,11,283.5,0.04,-4.7,7.8,8.07513180899322e-100,0,0,0,13,9,302,265
AAEL006542,175.5,24,327,0.073,-3.8,8,8.582198522402e-98,0,0,0,27,21,315,339
AAEL006834,143.8,276,11.5,23.605,4.6,7.9,3.07001313621676e-96,0,0,0,272,280,12,11
AAEL002827,2576.5,3830.5,1322.5,2.897,1.5,12,9.59209429090444e-93,0,0,0,3796,3865,1352,1293
AAEL001005,1421.5,526,2317,0.227,-2.1,11.1,1.24093950437628e-90,0,0,0,543,509,2176,2458
AAEL009330,184.2,340.5,28,12.146,3.6,8.3,3.8981294294475e-90,0,0,0,336,345,35,21
AAEL002269,186.2,35,337.5,0.104,-3.3,8.1,6.82791615842855e-90,0,0,0,33,37,342,333
AAEL009165,91.5,0,183,0.001,-10.5,7.1,9.41222091683573e-90,0,0,0,0,0,175,191
AAEL001951,135,259,11,23.162,4.5,7.8,3.0812384439045e-89,0,0,0,249,269,12,10
AAEL000500,211.2,15.5,407,0.039,-4.7,8.3,3.71592054884457e-88,0,0,0,18,13,347,467
AAEL005961,1467.5,2504.5,430.5,5.814,2.5,11.2,1.11702862415741e-84,0,0,0,2334,2675,469,392
AAEL026843,464,781,147,5.316,2.4,9.6,3.18330761478752e-83,0,0,0,793,769,130,164
AAEL010787,1112.8,1682.5,543,3.098,1.6,10.8,4.05880383249364e-83,0,0,0,1654,1711,539,547
AAEL022646,89.2,177.5,1,171.22,7.4,7.3,3.0998899683393e-82,0,0,0,178,177,1,1
AAEL013637,131,17.5,244.5,0.073,-3.8,7.6,1.13032849585415e-81,0,0,0,18,17,242,247
AAEL009487,180,326,34,9.499,3.2,8.2,4.6750822097614e-79,0,0,0,339,313,36,32
AAEL017262,695.2,1191,199.5,5.954,2.6,10.1,2.35634674873997e-78,0,0,0,1138,1244,227,172
AAEL012825,247,71.5,422.5,0.17,-2.6,8.5,6.56059970971944e-76,0,0,0,78,65,428,417
AAEL003606,437.2,97.5,777,0.126,-3,9.4,2.71612535431323e-75,0,0,0,90,105,866,688
AAEL009843,142.8,23.5,262,0.089,-3.5,7.7,5.30904526298803e-74,0,0,0,24,23,244,280
AAEL010884,1559,2536.5,581.5,4.357,2.1,11.3,7.93947283843994e-74,0,0,0,2397,2676,627,536
AAEL001052,365.8,119,612.5,0.194,-2.4,9.1,4.51325194222307e-73,0,0,0,114,124,575,650
AAEL004523,581,213,949,0.225,-2.2,9.8,1.07017093947663e-72,0,0,0,217,209,887,1011
AAEL001863,1032.5,1645,420,3.918,2,10.7,4.52482754357394e-72,0,0,0,1659,1631,383,457
AAEL010032,288.8,99,478.5,0.207,-2.3,8.8,9.76518686302796e-72,0,0,0,104,94,484,473
AAEL022665,97,191.5,2.5,71.771,6.2,7.4,1.60543197918273e-71,0,0,0,215,168,3,2
AAEL000294,101.2,193,9.5,20.346,4.3,7.4,5.87988316972336e-70,0,0,0,190,196,10,9
AAEL002510,215.5,63,368,0.172,-2.5,8.3,3.55601503150203e-69,0,0,0,69,57,372,364
AAEL014843,396.5,159.5,633.5,0.252,-2,9.2,6.27857421066797e-69,0,0,0,161,158,617,650
AAEL002185,224.5,383.5,65.5,5.833,2.5,8.5,1.26377140627212e-68,0,0,0,380,387,61,70
AAEL006070,484,773.5,194.5,3.982,2,9.6,4.29520559683655e-67,0,0,0,760,787,179,210
AAEL011184,645,1011,279,3.619,1.9,10,4.77359982900189e-67,0,0,0,992,1030,298,260
AAEL001864,164,291,37,7.872,3,8.1,5.22101356081923e-67,0,0,0,280,302,38,36
AAEL005384,215.8,64,367.5,0.175,-2.5,8.4,1.3192566807308e-66,0,0,0,71,57,377,358
AAEL025807,159.8,283,36.5,7.741,3,8.1,9.93018331735793e-66,0,0,0,291,275,34,39
AAEL027166,97.8,13,182.5,0.073,-3.8,7.2,8.07667263287469e-65,0,0,0,15,11,182,183
AAEL006823,133.8,27.5,240,0.117,-3.1,7.7,2.27970096685993e-64,0,0,0,32,23,249,231
AAEL005336,117.8,21.5,214,0.102,-3.3,7.5,5.72655201905963e-64,0,0,0,22,21,206,222
AAEL002572,1053.5,1571,536,2.929,1.6,10.7,1.77467534873966e-63,0,0,0,1512,1630,537,535
