name,baseMean,baseMeanA,baseMeanB,foldChange,log2FoldChange,logCPM,PValue,PAdj,FDR,falsePos,Sugar_1,Sugar_2,Blood_1,Blood_2,Gene.description
AAEL023729,1089.8,23,2156.5,0.011,-6.5,10.7,0,0,0,0,17,29,2246,2067,
AAEL001690,2369.5,46.5,4692.5,0.01,-6.7,11.8,0,0,0,0,51,42,4822,4563,serine-type enodpeptidase
AAEL002467,1762.5,22.5,3502.5,0.006,-7.3,11.4,0,0,0,0,17,28,3759,3246,
AAEL013715,789.2,8.5,1570,0.006,-7.5,10.2,0,0,0,0,10,7,1619,1521,trypsin
AAEL010196,880.2,7,1753.5,0.004,-7.9,10.4,0,0,0,0,10,4,1753,1754,trypsin
AAEL013712,715.5,4,1427,0.003,-8.5,10.1,0,0,0,0,8,0,1414,1440,trypsin 5G1 Precursor (EC 3.4.21.4)
AAEL007432,5937.8,26.5,11849,0.002,-8.8,13.2,0,0,0,0,27,26,12051,11647,serine collagenase 1 precursor, putative
AAEL006126,1985.8,5.5,3966,0.001,-9.5,11.6,0,0,0,0,4,7,4299,3633,
AAEL013284,1672.2,2.5,3342,0.001,-10.2,11.3,0,0,0,0,5,0,3489,3195,late trypsin 1, serine-type enodpeptidase
AAEL010434,2759,2.5,5515.5,0,-11.1,12.1,0,0,0,0,2,3,5959,5072,vitellogenin-A1 precursor
AAEL013118,804.8,0.5,1609,0,-11.7,10.3,0,0,0,0,1,0,1506,1712,
AAEL006138,3116.5,1,6232,0,-12.6,12.2,0,0,0,0,2,0,6588,5876,
AAEL010202,720,0,1440,0,-13.5,10.1,0,0,0,0,0,0,1438,1442,trypsin
AAEL006563,865,2,1728,0.001,-9.7,10.4,4.76230205445523e-279,0,0,0,1,3,1890,1566,Vitellogenic carboxypeptidase Precursor (EC 3.4.16.-)
AAEL001693,451.5,10.5,892.5,0.012,-6.4,9.4,5.25758326269487e-278,0,0,0,13,8,877,908,serine-type enodpeptidase
AAEL001674,380,1.5,758.5,0.002,-8.8,9.2,3.70789502955482e-255,0,0,0,2,1,787,730,serine-type enodpeptidase,
AAEL022600,580.8,30.5,1131,0.027,-5.2,9.8,6.22316727082495e-233,0,0,0,28,33,1069,1193,
AAEL001887,1038.2,181,1895.5,0.095,-3.4,10.6,3.28369659274412e-232,0,0,0,172,190,1866,1925,glutamine synthetase 1, 2 (glutamate-amonia ligase) (gs)
AAEL027068,422.8,5.5,840,0.006,-7.3,9.3,8.89293676047654e-230,0,0,0,8,3,897,783,
AAEL009642,510.8,44.5,977,0.046,-4.5,9.6,1.92419935978398e-228,0,0,0,51,38,971,983,cathepsin b
AAEL015136,550.2,43.5,1057,0.041,-4.6,9.7,4.4264534274011e-213,0,0,0,44,43,1110,1004,Niemann-Pick Type C-2, putative
AAEL008769,511,46.5,975.5,0.048,-4.4,9.6,3.75067131120302e-199,0,0,0,46,47,928,1023,serine-type enodpeptidase,
AAEL019470,235.5,0,471,0,-11.9,8.5,6.21257138532529e-194,0,0,0,0,0,475,467,
AAEL007601,226.8,0.5,453,0.001,-9.4,8.4,1.25378958345464e-185,0,0,0,1,0,465,441,trypsin
AAEL022453,362.8,1.5,724,0.002,-8.8,9.1,2.33549947703406e-184,0,0,0,0,3,800,648,
AAEL000859,339.8,27,652.5,0.042,-4.6,9,1.28120665677713e-175,0,0,0,28,26,680,625,
AAEL010435,186,1,371,0.002,-8.7,8.1,5.69772114920016e-162,0,0,0,1,1,366,376,
AAEL013611,257,22,492,0.046,-4.5,8.6,1.70185846879763e-155,0,0,0,20,24,492,492,AMP dependent ligase
AAEL014600,351.5,48,655,0.074,-3.8,9,4.47254740876784e-147,0,0,0,46,50,683,627,4-hydroxyphenylpyruvate dioxygenase
AAEL006381,260.5,27.5,493.5,0.055,-4.2,8.6,6.43624959339052e-146,0,0,0,28,27,503,484,sphingomyelin phosphodiesterase
AAEL007555,704.5,142,1267,0.112,-3.2,10.1,1.11251652970489e-129,0,0,0,145,139,1177,1357,acyl-coa dehydrogenase
AAEL007097,754.2,247,1261.5,0.196,-2.3,10.2,1.05339676211852e-128,0,0,0,244,250,1244,1279,4-nitrophenylphosphatase [Source:UniProtKB/TrEMBL;Acc:Q0IF18]
AAEL007812,130,1,259,0.005,-7.5,7.6,2.38887014162211e-119,0,0,0,1,1,247,271,cytochrome P450
AAEL012827,1131.8,439,1824.5,0.241,-2.1,10.8,5.16717565929492e-118,0,0,0,452,426,1844,1805,endoplasmin
AAEL001100,154.5,11.5,297.5,0.039,-4.7,7.8,6.24485742132762e-110,0,0,0,12,11,309,286,phosphoserine phosphatase
AAEL012578,388.8,76,701.5,0.109,-3.2,9.2,6.70215607071465e-109,0,0,0,73,79,751,652,Phosphoserine aminotransferase [Source:UniProtKB/TrEMBL;Acc:Q1HRL1]
AAEL000442,946.8,356,1537.5,0.232,-2.1,10.5,1.14110806845564e-100,0,0,0,335,377,1518,1557,protein oskar
AAEL004335,147.2,11,283.5,0.04,-4.7,7.8,8.07513180899322e-100,0,0,0,13,9,302,265,secreted ferritin G subunit precursor, putative
AAEL006542,175.5,24,327,0.073,-3.8,8,8.582198522402e-98,0,0,0,27,21,315,339,retinoid-inducible serine carboxypeptidase (serine carboxypeptidase
AAEL001005,1421.5,526,2317,0.227,-2.1,11.1,1.24093950437628e-90,0,0,0,543,509,2176,2458,calreticulin
