name,baseMean,baseMeanA,baseMeanB,foldChange,log2FoldChange,logCPM,PValue,PAdj,FDR,falsePos,Sugar_1,Sugar_2,Blood_1,Blood_2,Gene.description
AAEL003881,1137.8,2269,6.5,368.514,8.5,10.8,0,0,0,0,2411,2127,8,5,ubiquitin, putative
AAEL007818,1637.8,3261.5,14,228.798,7.8,11.4,0,0,0,0,3019,3504,16,12,Trypsin 3A1 Precursor (EC 3.4.21.4)
AAEL006425,737.8,1412,63.5,22.269,4.5,10.2,8.89343930960003e-245,0,0,0,1364,1460,66,61,trypsin
AAEL013703,731,1357,105,12.9,3.7,10.2,3.58888355113808e-208,0,0,0,1383,1331,113,97,trypsin
AAEL001319,174.8,345.5,4,79.766,6.3,8.2,2.3676587507873e-133,0,0,0,339,352,2,6,
AAEL001082,478,859,97,8.843,3.1,9.6,1.95125481006152e-119,0,0,0,879,839,82,112,
AAEL013885,1414,2267.5,560.5,4.044,2,11.1,4.07796263273037e-119,0,0,0,2221,2314,577,544,
AAEL001703,5124,9346,902,10.364,3.4,13,7.0475989931486e-112,0,0,0,9914,8778,785,1019,juvenile hormone-regulated chymotrypsin-like serine protease
AAEL008079,899.5,1470.5,328.5,4.473,2.2,10.5,5.39105968199018e-107,0,0,0,1479,1462,346,311,trypsin-alpha, putative
AAEL026304,397.8,728,67.5,10.818,3.4,9.3,1.2841984788049e-105,0,0,0,779,677,77,58,
AAEL006483,222,420.5,23.5,17.615,4.1,8.5,5.07077658160149e-101,0,0,0,454,387,26,21,
AAEL006834,143.8,276,11.5,23.605,4.6,7.9,3.07001313621676e-96,0,0,0,272,280,12,11,glutamate semialdehyde dehydrogenase
AAEL002827,2576.5,3830.5,1322.5,2.897,1.5,12,9.59209429090444e-93,0,0,0,3796,3865,1352,1293,ATP synthase beta subunit
AAEL009330,184.2,340.5,28,12.146,3.6,8.3,3.8981294294475e-90,0,0,0,336,345,35,21,carbonic anhydrase II, putative
AAEL001951,135,259,11,23.162,4.5,7.8,3.0812384439045e-89,0,0,0,249,269,12,10,actin
AAEL005961,1467.5,2504.5,430.5,5.814,2.5,11.2,1.11702862415741e-84,0,0,0,2334,2675,469,392,actin
AAEL026843,464,781,147,5.316,2.4,9.6,3.18330761478752e-83,0,0,0,793,769,130,164,
AAEL010787,1112.8,1682.5,543,3.098,1.6,10.8,4.05880383249364e-83,0,0,0,1654,1711,539,547,DEAD box ATP-dependent RNA helicase
AAEL022646,89.2,177.5,1,171.22,7.4,7.3,3.0998899683393e-82,0,0,0,178,177,1,1,Larval chymotrypsin-like protein [Source:UniProtKB/TrEMBL;Acc:Q8T639]
AAEL009487,180,326,34,9.499,3.2,8.2,4.6750822097614e-79,0,0,0,339,313,36,32,F-box domain-containing protein [Source:UniProtKB/TrEMBL;Acc:A0A1S4FMM4]
