name,baseMean,baseMeanA,baseMeanB,foldChange,log2FoldChange,logCPM,PValue,PAdj,FDR,falsePos,Sugar_1,Sugar_2,Blood_1,Blood_2,Gene.description
AAEL003881,1137.8,2269,6.5,368.514,8.5,10.8,0,0,0,0,2411,2127,8,5,ubiquitin, putative
AAEL007818,1637.8,3261.5,14,228.798,7.8,11.4,0,0,0,0,3019,3504,16,12,Trypsin 3A1 Precursor (EC 3.4.21.4)
AAEL023729,1089.8,23,2156.5,0.011,-6.5,10.7,0,0,0,0,17,29,2246,2067,
AAEL001690,2369.5,46.5,4692.5,0.01,-6.7,11.8,0,0,0,0,51,42,4822,4563,serine-type enodpeptidase
AAEL002467,1762.5,22.5,3502.5,0.006,-7.3,11.4,0,0,0,0,17,28,3759,3246,
AAEL013715,789.2,8.5,1570,0.006,-7.5,10.2,0,0,0,0,10,7,1619,1521,trypsin
AAEL010196,880.2,7,1753.5,0.004,-7.9,10.4,0,0,0,0,10,4,1753,1754,trypsin
AAEL013712,715.5,4,1427,0.003,-8.5,10.1,0,0,0,0,8,0,1414,1440,trypsin 5G1 Precursor (EC 3.4.21.4)
AAEL007432,5937.8,26.5,11849,0.002,-8.8,13.2,0,0,0,0,27,26,12051,11647,serine collagenase 1 precursor, putative
AAEL006126,1985.8,5.5,3966,0.001,-9.5,11.6,0,0,0,0,4,7,4299,3633,
AAEL013284,1672.2,2.5,3342,0.001,-10.2,11.3,0,0,0,0,5,0,3489,3195,late trypsin 1, serine-type enodpeptidase
AAEL010434,2759,2.5,5515.5,0,-11.1,12.1,0,0,0,0,2,3,5959,5072,vitellogenin-A1 precursor
AAEL013118,804.8,0.5,1609,0,-11.7,10.3,0,0,0,0,1,0,1506,1712,
AAEL006138,3116.5,1,6232,0,-12.6,12.2,0,0,0,0,2,0,6588,5876,
AAEL010202,720,0,1440,0,-13.5,10.1,0,0,0,0,0,0,1438,1442,trypsin
AAEL006563,865,2,1728,0.001,-9.7,10.4,4.76230205445523e-279,0,0,0,1,3,1890,1566,Vitellogenic carboxypeptidase Precursor (EC 3.4.16.-)
AAEL001693,451.5,10.5,892.5,0.012,-6.4,9.4,5.25758326269487e-278,0,0,0,13,8,877,908,serine-type enodpeptidase
AAEL001674,380,1.5,758.5,0.002,-8.8,9.2,3.70789502955482e-255,0,0,0,2,1,787,730,serine-type enodpeptidase,
AAEL006425,737.8,1412,63.5,22.269,4.5,10.2,8.89343930960003e-245,0,0,0,1364,1460,66,61,trypsin
AAEL022600,580.8,30.5,1131,0.027,-5.2,9.8,6.22316727082495e-233,0,0,0,28,33,1069,1193,
AAEL001887,1038.2,181,1895.5,0.095,-3.4,10.6,3.28369659274412e-232,0,0,0,172,190,1866,1925,glutamine synthetase 1, 2 (glutamate-amonia ligase) (gs)
